businessname,dbaname,address,city,state,zip,licstatus,licensecat,descript,license_add_dt_tm,dayphn_cleaned,property_id,latitude,longitude
Auntie Anne's Pretzels/ Carvel,,700 Atlantic,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2021-07-08 14:45:17.177+00,6318975251,156723,42.35204827404688,-71.0551747507777
Avana Market Place,,40 Harrison,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2009-04-03 14:23:20+00,6174263331,69834,42.35166400036557,-71.0609680016387
Avana Sushi,,58 Franklin,Boston,MA,02110,Active,FS,Eating & Drinking,2021-03-25 14:19:56.86+00,6174235000,156306,42.35579591153433,-71.05845126002005
Azama Grill,,44 Harvard,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,2009-12-30 13:22:42+00,6174477646,70391,42.354441599209494,-71.13226232642607
B2J Tasty Pot,,75 Harvard,Allston,MA,02134,Active,FS,Eating & Drinking,2025-02-06 14:47:11.333+00,4258983039,70397,42.35362399970926,-71.1324120008245
Bab AlYemen,,468 Commonwealth,Boston,MA,02215,Active,FS,Eating & Drinking,2021-07-06 14:47:01.533+00,6175996537,415730,42.34855000014252,-71.09348000084897
Baby Cafe Kitchen,,128 Brighton,Allston,MA,02134,Active,FS,Eating & Drinking,2024-02-15 15:26:40.15+00,6463182830,20072,42.35263600000616,-71.13129100075554
BACCO RISTORANTE & BAR,,107 Salem,Boston,MA,02113,Active,FS,Eating & Drinking,2006-12-07 18:35:17+00,6176292622,121692,42.36418000011288,-71.05538000066188
Back Bay Social Club,,867 Boylston,Boston,MA,02116,Active,FS,Eating & Drinking,2010-06-18 16:55:11+00,6175232727,18414,42.34874000051143,-71.08344500180395
Back Deck,,10 West,Boston,MA,02111,Active,FS,Eating & Drinking,2011-09-15 16:56:14+00,6174261266,172982,42.354316032446626,-71.06215008405697
BACKWOODS PIZZA,,539 Dudley,Roxbury,MA,02119,Active,FT,Eating & Drinking w/ Take Out,2021-01-14 14:15:29.383+00,6174457400,156012,42.321739861683525,-71.07251108091724
Bagel Guild,,100 Hanover,Boston,MA,02108,Active,FT,Eating & Drinking w/ Take Out,2022-03-30 18:37:49.113+00,8579987124,355634,42.36222403255521,-71.05753575641967
Baguette Cafe,,224 Newbury,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2024-09-03 14:41:04.86+00,4157389515,101441,42.34972980400916,-71.0811551860116
Bailey and Sage,,100 Federal,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2018-01-22 13:10:04.81+00,8573503032,57150,42.354770000088834,-71.0561300019333
Bailey and Sage,,53 State,Boston,MA,02109,Active,FT,Eating & Drinking w/ Take Out,2022-07-11 14:58:12.983+00,,157026,42.35875086334468,-71.05619957647649
Bain Capital (40th Fl),,200 Clarendon,Boston,MA,02116,Active,FS,Eating & Drinking,2024-01-22 15:36:03.397+00,6175162078,33209,42.34921000046016,-71.07513000164919
Bain & Company - 9th Fl.,,350 Boylston,Boston,MA,02116,Active,FS,Eating & Drinking,2025-07-01 15:39:40.497+00,6175722000,367740,42.351530000324566,-71.07119000099715
Bakalao Kitchenette  Inc.,,1002 Tremont,Mission Hill,MA,02120,Active,FT,Eating & Drinking w/ Take Out,2023-05-10 18:31:30.32+00,6176690211,157216,42.33682173366284,-71.08455924915735
Baker Baking Company,,32 Cambridge,Charlestown,MA,02129,Active,FT,Eating & Drinking w/ Take Out,2024-08-15 17:19:06.833+00,4129920207,25110,42.383569999309664,-71.0743500017016
Bakey,,200 Faneuil Hall Market,Boston,MA,02109,Active,FT,Eating & Drinking w/ Take Out,2025-08-06 16:17:58.847+00,6176700114,,,
Balance Patch,,1031 Commonwealth,Boston,MA,02134,Active,FS,Eating & Drinking,2016-11-16 15:19:46.577+00,,414826,42.35229170503244,-71.12170808242345
Baleia,,264 Berkeley,Roxbury,MA,02118,Active,FS,Eating & Drinking,2023-12-13 15:11:49.277+00,,355552,42.34363103221516,-71.06267933119206
BALE RESTAURANT,,1052 Dorchester,Dorchester,MA,02125,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:43+00,6174799006,156182,42.31479189559836,-71.05661128026615
Ballers,,25 Pier 4,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2025-09-23 14:55:21.277+00,6176507900,460012,42.34952621101096,-71.0454445809522
Bamboo Beach Juice Bar,,687 Second,South Boston,MA,02127,Active,FT,Eating & Drinking w/ Take Out,2022-04-05 14:20:35.92+00,,124439,42.33717000053391,-71.03578000128032
Bamboo Thai Restaurant,,1616 Commonwealth,Brighton,MA,02135,Active,FS,Eating & Drinking,2016-06-17 15:47:24.25+00,6178988846,408957,42.3432500003897,-71.14271000076049
Bambu,,287 Adams,Dorchester,MA,02122,Active,FS,Eating & Drinking,2016-12-12 16:23:18.29+00,5086151910,421205,42.299664729510575,-71.05878941872314
Bangkok Bento Thai Kitchen & Sushi Bar,,272 Newbury,Boston,MA,02116,Active,FS,Eating & Drinking,2023-02-17 14:37:08.597+00,8572638440,101485,42.34911999938299,-71.08342000162908
Bangkok Pinto,,1041 Tremont,Mission Hill,MA,02120,Active,FT,Eating & Drinking w/ Take Out,2015-09-18 16:17:44.22+00,6174425555,136794,42.33659899979592,-71.0857480010929
Banh Mi Huong Que,,696 Washington,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2020-11-09 17:11:39.69+00,6179590309,158284,42.35111282269877,-71.06279669422453
Banh Mi K,,108 Brighton,Allston,MA,02134,Active,FT,Eating & Drinking w/ Take Out,2022-10-31 13:16:06.433+00,6172015301,157936,42.35256457545934,-71.13037111078859
Banh Mi Oi,,1759 Centre,West Roxbury,MA,02132,Active,FT,Eating & Drinking w/ Take Out,2020-06-23 15:26:19.067+00,6173250946,351854,42.28751507883635,-71.15055866207874
Banh Mi Ok,,42 School,Boston,MA,02108,Active,FT,Eating & Drinking w/ Take Out,2024-05-13 14:39:22.28+00,7813784022,123778,42.35767999930571,-71.05965000117719
Banners Kitchen and Tap,,50 Causeway,Boston,MA,02114,Active,FS,Eating & Drinking,2019-02-01 15:12:59.453+00,,340676,42.365708404451155,-71.06147827139706
Banyan Bar & Refuge,,537 Tremont,Boston,MA,02116,Active,FS,Eating & Drinking,2015-03-27 14:03:28.263+00,6178694951,340800,42.34471182803439,-71.07140468918473
Barcelona Restaurant,,503 Tremont,Boston,MA,02116,Active,FS,Eating & Drinking,2014-02-27 17:16:50+00,2032991415,341128,42.34495289955733,-71.07079097652618
Bar & Kitchen Hospitality Inc.,,604 Columbus,Roxbury,MA,02118,Active,FS,Eating & Drinking,2018-10-10 17:24:16.45+00,6174878696,156491,42.339750091939436,-71.08239841041788
Bar Mezzana,,360 Harrison,Roxbury,MA,02118,Active,FS,Eating & Drinking,2015-12-11 19:10:56.85+00,6175301770,419370,42.34461586118345,-71.06325750494827
Bar Moxy,,240 Tremont,Boston,MA,02116,Active,FS,Eating & Drinking,2024-06-25 15:18:27.45+00,6177934200,419935,42.350960069553174,-71.06477513594344
BARNEY'S GRILL,,299 Havre,East Boston,MA,02128,Active,FS,Eating & Drinking,2006-12-07 18:35:06+00,,156023,42.3765262634294,-71.03379866937391
BARRY'S BOOTCAMP,,10 Huntington,Boston,MA,02116,Active,FS,Eating & Drinking,2018-04-27 15:41:20.78+00,8573174826,76236,42.34854500042617,-71.07731400127675
BARRY'S BOOTCAMP,,38 Chauncy,Boston,MA,02111,Active,FS,Eating & Drinking,2013-04-16 15:18:00+00,,205525,42.35383430965169,-71.05975349127195
Bartaco,,1321 Boylston,Boston,MA,02215,Active,FS,Eating & Drinking,2023-04-27 18:13:54.777+00,6176158226,354118,42.34465384321156,-71.09948485636042
Bartaco,,25 Thomson,Boston,MA,02210,Active,FS,Eating & Drinking,2018-02-12 16:49:30.78+00,,355868,42.35091422088697,-71.04740595226723
Bar Volpe,,170 Broadway,South Boston,MA,02127,Active,FS,Eating & Drinking,2021-09-23 14:38:50.733+00,6173723190,21394,42.3405100214425,-71.05285198088377
Basement Dining @ Tufts Medical Center,,750 Washington,Boston,MA,02111,Active,FS,Eating & Drinking,2023-10-03 19:42:24.17+00,,158017,42.35055564807489,-71.06286082550342
Basho Express,,700 Commonwealth,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2015-10-09 13:57:53.163+00,6172307017,217489,42.34936000014419,-71.10402000155638
Basho Japanese Brasserie,,1310 Boylston,Boston,MA,02215,Active,FS,Eating & Drinking,2009-10-29 17:22:25+00,6178598886,340893,42.34411998969149,-71.09841147279276
Basho Japanese Sushi@B.U.(G.S.U.),,775 Commonwealth,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2013-02-28 13:06:53+00,6172621338,157395,42.35074376505768,-71.1090381125807
Basile- Fine Italian Kitchen,,162 Columbus,Boston,MA,02116,Active,FS,Eating & Drinking,2019-05-08 12:40:59.3+00,6173500007,156280,42.34928278478085,-71.07065159338124
Bati Indian Kitchen By Shanti,,80 Causeway,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2024-01-22 17:11:36.093+00,,423633,42.36553349531547,-71.06185622592876
BATTERY WHARF HOTEL BOSTON WATERFRONT,,2 Battery,Boston,MA,02109,Active,FS,Eating & Drinking,2015-12-18 20:16:51.113+00,6179949000,172851,42.3673575758229,-71.05032934655416
Battery Wharf Hotel/Grille,,3 Battery,Boston,MA,02109,Active,FS,Eating & Drinking,2017-04-13 18:12:56.13+00,6179949000,345275,42.366845639657626,-71.05133978005192
Bay State,,1 Long,Boston,MA,02110,Active,FS,Eating & Drinking,2022-12-28 17:17:12.64+00,,156129,42.360005630246626,-71.0512268922267
BBQ Chicken,,178 Harvard,Allston,MA,02134,Active,FS,Eating & Drinking,2022-11-22 15:34:19.48+00,6179033359,70345,42.351160000086686,-71.13119000097443
BBQ Chicken,,62 Boylston,Boston,MA,02116,Active,FS,Eating & Drinking,2011-12-08 20:17:20+00,6174234888,193139,42.351989999807685,-71.0643900011212
BBQ Chicken,,636 Beacon,Boston,MA,02215,Active,FS,Eating & Drinking,2024-02-07 17:16:10.353+00,6172900588,12032,42.34951970001024,-71.09523876395653
BBQ Chicken,,649 Centre,Jamaica Plain,MA,02130,Active,FT,Eating & Drinking w/ Take Out,2024-02-07 16:44:12.737+00,,28149,42.31304999986851,-71.11444000139502
Beachside Cafe,,4 Barnes,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2023-06-01 17:37:33.483+00,,391444,42.3858800004,-71.0068200014125
Beacon - 50th Floor,,800 Boylston,Boston,MA,02199,Active,FS,Eating & Drinking,2023-01-18 18:55:42.37+00,,157244,42.34729680482496,-71.0814574594804
Beacon Cafe @Univ. of Mass Boston,,100 William T Morrissey,Dorchester,MA,02125,Active,FS,Eating & Drinking,2013-10-18 14:53:38+00,6172875082,155810,42.31414630361416,-71.03937232722609
Beacon Hill Books & Cafe,,71 Charles,Boston,MA,02114,Active,FS,Eating & Drinking,2021-03-30 18:22:10.293+00,,29174,42.35818753099832,-71.07026673348383
BEACON HILL HOTEL & BISTRO,,25 Charles,Boston,MA,02108,Active,FS,Eating & Drinking,2019-02-15 18:37:36.563+00,6177237575,364451,42.356920000193384,-71.06965000095333
Bean & Leaf Cafe,,20 Custom House,Boston,MA,02110,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:36+00,5089420923,157482,42.35813500112829,-71.05305898375381
Bean & Leaf Cafe,,239 Causeway,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2022-04-01 15:25:52.4+00,,352328,42.3661099996119,-71.05943000088057
Beantown Pastrami,HSI MCA BOS FB  LLC,300 Terminal,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2019-06-27 16:08:29.32+00,6176346097,341352,42.3666199526667,-71.016589349149
Beantown Pastrami,,100 Hanover,Boston,MA,02108,Active,FT,Eating & Drinking w/ Take Out,2015-02-23 19:32:56.897+00,6179430705,355634,42.36222403255521,-71.05753575641967
Beantown Pub/Ziggy's Coffee Bar,,100 Tremont,Boston,MA,02108,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:05+00,6174260111,157329,42.3572325180784,-71.06097932487788
Beard Papa Teazzi,,232 Newbury,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2023-05-26 14:28:23.01+00,4017494388,101449,42.349649999701306,-71.08147000081819
Becca's Kitchen,,60 Springfield,Roxbury,MA,02118,Active,FS,Eating & Drinking,2024-03-28 17:11:58.747+00,6175579291,129907,42.33565871826707,-71.07444859202572
Beijing Taste,,377 Washington,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2022-09-07 16:31:33.203+00,6179446666,156389,42.3492911634072,-71.15428071193661
Bel Ave Pizza,,330 Belgrade,Roslindale,MA,02131,Active,FT,Eating & Drinking w/ Take Out,2014-05-23 17:06:31+00,6173371300,157181,42.285901900512954,-71.1451104154195
Bella Vista,,288 Hanover,Boston,MA,02113,Active,FS,Eating & Drinking,2007-04-01 12:35:15+00,,69101,42.36402000031762,-71.0545000011274
Bell In Hand,,45 Union,Boston,MA,02108,Active,FS,Eating & Drinking,2006-12-07 18:34:00+00,6172272098,139294,42.36160000006646,-71.05706000169175
Ben Cotto,,357 Hanover,Boston,MA,02113,Active,FS,Eating & Drinking,2015-05-07 17:52:18.287+00,6173195070,69120,42.364660000201646,-71.05337000050613
Benevento's,,111 Salem,Boston,MA,02113,Active,FS,Eating & Drinking,2009-07-24 14:05:55+00,6175937735,121696,42.36427000037763,-71.05536000122716
Ben & Jerry's,,174 Newbury,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:47+00,6178770252,101380,42.350309999344155,-71.07900000129374
Ben & Jerry's,,300 Faneuil Hall Marketplace,Boston,MA,02109,Active,FT,Eating & Drinking w/ Take Out,2019-03-07 16:31:38.753+00,6175365256,351051,42.3605358160807,-71.05485795412649
Ben & Jerry's,,61 Brookline,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2023-03-16 15:43:49.03+00,,156512,42.347163648653556,-71.0990811753775
Ben & Jerry's,,77 Seaport,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2017-01-12 15:40:36.497+00,6175365456,350786,42.35176302239408,-71.04614760894853
BEN & JERRYS,,200 Faneuil Hall Marketplace,Boston,MA,02109,Active,FT,Eating & Drinking w/ Take Out,2022-03-02 19:41:23.167+00,6175365456,156093,42.36019981607993,-71.05479820374326
Ben & Jerry's (Kiosk),,800 Boylston,Boston,MA,02199,Active,FT,Eating & Drinking w/ Take Out,2017-01-12 15:23:39.15+00,6175365456,157244,42.34729680482496,-71.0814574594804
Bennett's Sandwich Shop,,1348 Boylston,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2022-03-17 14:24:39.6+00,,422932,42.3438341611621,-71.09937809525667
Bennett's Sandwich Shop,,91 Summer,Boston,MA,02111,Active,FT,Eating & Drinking w/ Take Out,2025-03-21 14:11:28.623+00,6097246242,351553,42.35378125606861,-71.05846822923225
Ben's Fast Food-Kitchen 117,,94 Shirley,Roxbury,MA,02119,Active,FT,Eating & Drinking w/ Take Out,2023-06-20 14:51:07.133+00,7817867766,127222,42.32448468232285,-71.07021644447491
BERKELEY PERK CAFE,,69 Berkeley,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:00+00,6174260673,15038,42.34677999944301,-71.07061000196138
Berkeley Streat,,200 Berkeley,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2023-06-14 17:17:46.64+00,7812720539,156187,42.35006051614686,-71.07291903349389
Berklee College of Music,,160 Massachusetts,Boston,MA,02115,Active,FS,Eating & Drinking,2013-01-07 17:46:12+00,6177478112,343903,42.34628547921036,-71.08699045030745
Berklee Noodles,,173 Massachusetts,Boston,MA,02115,Active,FS,Eating & Drinking,2016-11-22 19:29:55.737+00,8573503923,91978,42.34589000032701,-71.08739000035698
Berkshire Farms Market,,200 Terminal,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2013-11-08 14:59:52+00,,341353,42.362677345436204,-71.01863498065062
Berkshire Farms Market A,,500 Terminal,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2019-01-25 17:56:26.06+00,6175675700,341351,42.36990420124479,-71.01943927546833
BERTUCCI'S,,633 V F W,WEST ROXBURY,MA,02132,Active,FS,Eating & Drinking,2006-12-07 18:34:22+00,5083512577,,,
Bertucci's Pronto,,18 Tremont,Boston,MA,02108,Active,FT,Eating & Drinking w/ Take Out,2024-10-03 14:37:50.163+00,5089512047,356337,42.35881121298423,-71.05962140458601
Best Fried Chicken,,1198 Blue Hill,Mattapan,MA,02126,Active,FT,Eating & Drinking w/ Take Out,2021-04-30 19:46:42.97+00,6173223035,156964,42.2836947395404,-71.09195881907019
Beth Israel Deaconess,,330 Brookline,Boston,MA,02115,Active,FS,Eating & Drinking,2007-04-13 12:21:31+00,0,22096,42.33981999990494,-71.10568000065616
Better Bagels,,77 Seaport,Boston,MA,02210,Active,FT,Eating & Drinking w/ Take Out,2017-01-04 15:57:16.95+00,8575403177,350786,42.35176302239408,-71.04614760894853
B. Good,,100 Terminal,East Boston,MA,02128,Active,FS,Eating & Drinking,2019-05-09 18:53:44.123+00,3052678510,341357,42.364539860564015,-71.02181743285618
B. Good Burger,,200 Terminal,East Boston,MA,02128,Active,FT,Eating & Drinking w/ Take Out,2018-08-14 18:27:45.563+00,7163679342,341353,42.362677345436204,-71.01863498065062
B & G OYSTERS LTD.,,550 Tremont,Roxbury,MA,02118,Active,FS,Eating & Drinking,2006-12-07 18:35:51+00,6174230550,137629,42.34389499985967,-71.07126300137246
Biddy Earlys,,141 Pearl,Boston,MA,02110,Active,FS,Eating & Drinking,2006-12-07 18:35:20+00,,108787,42.35463999963985,-71.05374000115387
B I DEACONESS/WEST END CAFE,,1 DEACONESS,BOSTON,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:29+00,6675634,,42.337813275095414,-71.10907881645676
BIG DADDY HOT DOGS,,10 Whittier,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2019-06-18 13:45:25.54+00,6179572755,157202,42.36557628889919,-71.06800663370039
BIG DADDY'S PIZZA,,436 Western,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2022-05-25 12:43:04.503+00,6178042907,156361,42.36225706380836,-71.14088942045994
Big Night Live,,50 Causeway,Boston,MA,02114,Active,FS,Eating & Drinking,2019-10-10 20:38:34.717+00,6178965222,340676,42.365708404451155,-71.06147827139706
Bijou Night Club,,51 Stuart,Boston,MA,02116,Active,FS,Eating & Drinking,2011-06-24 13:46:39+00,6173574565,155868,42.351195281428225,-71.06416158994193
Billares Colombia,,16 Bennington,East Boston,MA,02128,Active,FS,Eating & Drinking,2024-11-07 19:09:07.06+00,8573139046,14624,42.37528999983556,-71.0383000016197
Bill's Bar,,7 Lansdowne,Boston,MA,02215,Active,FS,Eating & Drinking,2006-12-07 18:34:51+00,6175232727,84011,42.34733000040735,-71.09499000142233
Billy's Sub Shop,,57 Berkeley,Boston,MA,02116,Active,FT,Eating & Drinking w/ Take Out,2006-12-07 18:35:32+00,6174261822,15033,42.34659000009131,-71.07051000119982
BILLY'S TEXAS B.B.Q.,,530 Washington,Dorchester,MA,02124,Active,FS,Eating & Drinking,2006-12-07 18:34:49+00,6172886161,146103,42.29298000019877,-71.07162000142249
BILLY TSE RESTAURANT,,240 Commercial,Boston,MA,02109,Active,FS,Eating & Drinking,2022-09-09 18:38:45.48+00,6172279990,351949,42.3638499996038,-71.05146000153806
Birdies Hot Chicken,,245 Washington,Boston,MA,02108,Active,FT,Eating & Drinking w/ Take Out,2024-01-25 16:18:24.73+00,,144504,42.35792800025809,-71.058184000275
Birds of Paradise,,525 Western,Brighton,MA,02135,Active,FS,Eating & Drinking,2022-09-30 15:20:56.223+00,6179034298,148220,42.36174899392653,-71.1451990845174
Birria Taqueria,,220 Columbia,Dorchester,MA,02121,Active,FT,Eating & Drinking w/ Take Out,2025-02-21 16:20:09.15+00,6175889599,35185,42.307590000432974,-71.0762900005258
Bistro du Midi,,272 Boylston,Boston,MA,02116,Active,FS,Eating & Drinking,2006-12-07 18:35:47+00,6174267878,157796,42.351859504409944,-71.06966980460682
Bitez,,914 Morton,Dorchester,MA,02124,Active,FT,Eating & Drinking w/ Take Out,2022-01-13 16:26:12.693+00,6178206485,351026,42.28071999992337,-71.08314000054096
Bittersweet Violet - Lower Level,,32 Cambridge,Charlestown,MA,02129,Active,FT,Eating & Drinking w/ Take Out,2022-10-28 15:07:14.347+00,6172248610,25110,42.383569999309664,-71.0743500017016
Blackbird,,100 Holton,Brighton,MA,02135,Active,FT,Eating & Drinking w/ Take Out,2018-04-25 15:17:46.847+00,6174829000,351912,42.36021804203562,-71.13853514949616
Blackbird Donuts,,1321 Boylston,Boston,MA,02215,Active,FT,Eating & Drinking w/ Take Out,2017-01-12 17:57:13.59+00,6174829000,354118,42.34465384321156,-71.09948485636042
Blackbird Doughnuts,,175 Cambridge,Boston,MA,02114,Active,FT,Eating & Drinking w/ Take Out,2020-03-13 14:11:57.183+00,6174829000,363091,42.362110000339804,-71.06588000116895
Blackbird Doughnuts & Sally's Sandwiches,,460 Tremont,Roxbury,MA,02118,Active,FT,Eating & Drinking w/ Take Out,2014-09-26 14:08:52.227+00,6177970333,156997,42.34596173170839,-71.06909936809753
Black Lamb,571 Tremont LLC,571 Tremont,Roxbury,MA,02118,Active,FS,Eating & Drinking,2019-05-14 16:59:55.707+00,6174708663,351697,42.343678999984945,-71.07262500179121
Blackmoor Bar & Kitchen,,1 Chelsea,Charlestown,MA,02129,Active,FS,Eating & Drinking,2015-11-16 16:26:28.44+00,6172123580,163254,42.371175459805414,-71.061385413516
Black Rose,,160 State,Boston,MA,02109,Active,FS,Eating & Drinking,2006-12-07 18:34:05+00,6177422286,130383,42.359440341480564,-71.05379015503046
